maquinaPropietariaSchedule, maquina, operacion, horaInicio, horaFin, ubicacion, cantidadMaterial, horaInicioHHMMSS, horaFinHHMSS, duracionActividad, tiempoInactivoDesdeActividadAnterior
Truck5,,VIAJE_VACIO,6612544,7590715,#UB1_4390_EST,0.0,1:50:12,2:6:30,978171,124014
Truck5,PA04,CARGA,7590715,7755491,#UB1_4390_EST,373.0,2:6:30,2:9:15,164776,0
Truck5,,VIAJE_CARGADO,7755491,9467290,#UB1_TRANQUEESPA_EST,373.0,2:9:15,2:37:47,1711799,0
Truck5,,DESCARGA,9467290,9516290,#UB1_TRANQUEESPA_EST,373.0,2:37:47,2:38:36,49000,0
PA04,Truck5,CARGA,7590715,7755491,#UB1_4390_EST,373.0,2:6:30,2:9:15,164776,0
Truck4,,VIAJE_VACIO,6777320,7755491,#UB1_4390_EST,0.0,1:52:57,2:9:15,978171,60349
Truck4,PA04,CARGA,7755491,7920267,#UB1_4390_EST,373.0,2:9:15,2:12:0,164776,0
Truck4,,VIAJE_CARGADO,7920267,9550552,#UB1_TRANQUEESPA_EST,373.0,2:12:0,2:39:10,1630285,0
Truck4,,DESCARGA,9550552,9600552,#UB1_TRANQUEESPA_EST,373.0,2:39:10,2:40:0,50000,0
PA04,Truck4,CARGA,7755491,7920267,#UB1_4390_EST,373.0,2:9:15,2:12:0,164776,0
Truck13,,VIAJE_VACIO,6550827,7920267,#UB1_4390_EST,0.0,1:49:10,2:12:0,1369440,254978
Truck13,PA04,CARGA,7920267,8064446,#UB1_4390_EST,300.0,2:12:0,2:14:24,144179,0
Truck13,,VIAJE_CARGADO,8064446,9866340,#UB1_TRANQUEESPA_EST,300.0,2:14:24,2:44:26,1801894,0
Truck13,,DESCARGA,9866340,9917340,#UB1_TRANQUEESPA_EST,300.0,2:44:26,2:45:17,51000,0
PA04,Truck13,CARGA,7920267,8064446,#UB1_4390_EST,300.0,2:12:0,2:14:24,144179,0
Truck3,,VIAJE_VACIO,5782046,8064446,#UB1_4390_EST,0.0,1:36:22,2:14:24,2282400,75771
Truck3,PA04,CARGA,8064446,8229222,#UB1_4390_EST,373.0,2:14:24,2:17:9,164776,0
Truck3,,VIAJE_CARGADO,8229222,9655721,#UB1_TRANQUEESPA_EST,373.0,2:17:9,2:40:55,1426499,0
Truck3,,DESCARGA,9655721,9696721,#UB1_TRANQUEESPA_EST,373.0,2:40:55,2:41:36,41000,0
PA04,Truck3,CARGA,8064446,8229222,#UB1_4390_EST,373.0,2:14:24,2:17:9,164776,0
Truck1,,VIAJE_VACIO,6860701,8349222,#UB1_4390_EST,0.0,1:54:20,2:19:9,1488521,19792
Truck1,PA04,CARGA,8349222,8493401,#UB1_4390_EST,300.0,2:19:9,2:21:33,144179,0
Truck1,,VIAJE_CARGADO,8493401,10395400,#UB1_TRANQUEESPA_EST,300.0,2:21:33,2:53:15,1901999,0
Truck1,,DESCARGA,10395400,10462400,#UB1_TRANQUEESPA_EST,300.0,2:53:15,2:54:22,67000,0
PA04,Truck1,CARGA,8349222,8493401,#UB1_4390_EST,300.0,2:19:9,2:21:33,144179,120000
Truck14,,VIAJE_VACIO,7071401,8973401,#UB1_4390_EST,0.0,1:57:51,2:29:33,1902000,13642
Truck14,PA04,CARGA,8973401,9117580,#UB1_4390_EST,300.0,2:29:33,2:31:57,144179,0
Truck14,,VIAJE_CARGADO,9117580,10919474,#UB1_TRANQUEESPA_EST,300.0,2:31:57,3:1:59,1801894,0
Truck14,,DESCARGA,10919474,10994474,#UB1_TRANQUEESPA_EST,300.0,3:1:59,3:3:14,75000,0
PA04,Truck14,CARGA,8973401,9117580,#UB1_4390_EST,300.0,2:29:33,2:31:57,144179,480000
Truck11,,VIAJE_VACIO,7849580,9117580,#UB1_4390_EST,0.0,2:10:49,2:31:57,1268000,3463
Truck11,PA04,CARGA,9117580,9261759,#UB1_4390_EST,300.0,2:31:57,2:34:21,144179,0
Truck11,,VIAJE_CARGADO,9261759,11063653,#UB1_TRANQUEESPA_EST,300.0,2:34:21,3:4:23,1801894,0
Truck11,,DESCARGA,11063653,11098653,#UB1_TRANQUEESPA_EST,300.0,3:4:23,3:4:58,35000,0
PA04,Truck11,CARGA,9117580,9261759,#UB1_4390_EST,300.0,2:31:57,2:34:21,144179,0
Truck0,,VIAJE_VACIO,7835259,9261759,#UB1_4390_EST,0.0,2:10:35,2:34:21,1426500,10216
Truck0,PA04,CARGA,9261759,9405938,#UB1_4390_EST,300.0,2:34:21,2:36:45,144179,0
Truck0,,VIAJE_CARGADO,9405938,11307937,#UB1_TRANQUEESPA_EST,300.0,2:36:45,3:8:27,1901999,0
Truck0,,DESCARGA,11307937,11365937,#UB1_TRANQUEESPA_EST,300.0,3:8:27,3:9:25,58000,0
PA04,Truck0,CARGA,9261759,9405938,#UB1_4390_EST,300.0,2:34:21,2:36:45,144179,0
Truck6,,VIAJE_VACIO,8977938,10245938,#UB1_4390_EST,0.0,2:29:37,2:50:45,1268000,1296
Truck6,PA04,CARGA,10245938,10410714,#UB1_4390_EST,373.0,2:50:45,2:53:30,164776,0
Truck6,,VIAJE_CARGADO,10410714,12040999,#UB1_TRANQUEESPA_EST,373.0,2:53:30,3:20:40,1630285,0
Truck6,,DESCARGA,12040999,12084999,#UB1_TRANQUEESPA_EST,373.0,3:20:40,3:21:24,44000,0
PA04,Truck6,CARGA,10245938,10410714,#UB1_4390_EST,373.0,2:50:45,2:53:30,164776,840000
Truck8,,VIAJE_VACIO,9042193,10530714,#UB1_4390_EST,0.0,2:30:42,2:55:30,1488521,42718
Truck8,PA04,CARGA,10530714,10674893,#UB1_4390_EST,300.0,2:55:30,2:57:54,144179,0
Truck8,,VIAJE_CARGADO,10674893,12476787,#UB1_TRANQUEESPA_EST,300.0,2:57:54,3:27:56,1801894,0
Truck8,,DESCARGA,12476787,12536787,#UB1_TRANQUEESPA_EST,300.0,3:27:56,3:28:56,60000,0
PA04,Truck8,CARGA,10530714,10674893,#UB1_4390_EST,300.0,2:55:30,2:57:54,144179,120000
