maquinaPropietariaSchedule, maquina, operacion, horaInicio, horaFin, ubicacion, cantidadMaterial, horaInicioHHMMSS, horaFinHHMSS, duracionActividad, tiempoInactivoDesdeActividadAnterior
PA03,Truck11,CARGA,6776904,6992920,#UB1_4390_EST,300.0,1:52:56,1:56:32,216016,1020000
Truck3,,VIAJE_VACIO,2899946,4535065,#RF10A_4270_1012_1,0.0,0:48:19,1:15:35,1635119,14974
Truck3,PA05,CARGA,4535065,4611089,#RF10A_4270_1012_1,373.0,1:15:35,1:16:51,76024,0
Truck3,,VIAJE_CARGADO,4611089,5633038,#RB2_PUMA2_EST,373.0,1:16:51,1:33:53,1021949,0
Truck3,,DESCARGA,5633038,5674038,#RB2_PUMA2_EST,373.0,1:33:53,1:34:34,41000,0
PA05,Truck3,CARGA,4535065,4611089,#RF10A_4270_1012_1,373.0,1:15:35,1:16:51,76024,1860000
Truck6,,VIAJE_VACIO,3762690,4671089,#RF10A_4270_1012_1,0.0,1:2:42,1:17:51,908399,52701
Truck6,PA05,CARGA,4671089,4747113,#RF10A_4270_1012_1,373.0,1:17:51,1:19:7,76024,0
Truck6,,VIAJE_CARGADO,4747113,5915055,#RB2_PUMA2_EST,373.0,1:19:7,1:38:35,1167942,0
Truck6,,DESCARGA,5915055,5959055,#RB2_PUMA2_EST,373.0,1:38:35,1:39:19,44000,0
PA05,Truck6,CARGA,4671089,4747113,#RF10A_4270_1012_1,373.0,1:17:51,1:19:7,76024,60000
Truck4,,VIAJE_VACIO,6406292,7292920,#UB1_4390_EST,0.0,1:46:46,2:1:32,886628,3726
Truck4,PA03,CARGA,7292920,7562940,#UB1_4390_EST,373.0,2:1:32,2:6:2,270020,0
Truck4,,VIAJE_CARGADO,7562940,9040654,#UB1_TRANQUEBERM_EST,373.0,2:6:2,2:30:40,1477714,0
Truck4,,DESCARGA,9040654,9090654,#UB1_TRANQUEBERM_EST,373.0,2:30:40,2:31:30,50000,0
PA03,Truck4,CARGA,7292920,7562940,#UB1_4390_EST,373.0,2:1:32,2:6:2,270020,300000
Truck12,,VIAJE_VACIO,6321660,7562940,#UB1_4390_EST,0.0,1:45:21,2:6:2,1241280,271229
Truck12,PA03,CARGA,7562940,7778956,#UB1_4390_EST,300.0,2:6:2,2:9:38,216016,0
Truck12,,VIAJE_CARGADO,7778956,9330555,#UB1_TRANQUEBERM_EST,300.0,2:9:38,2:35:30,1551599,0
Truck12,,DESCARGA,9330555,9404555,#UB1_TRANQUEBERM_EST,300.0,2:35:30,2:36:44,74000,0
PA03,Truck12,CARGA,7562940,7778956,#UB1_4390_EST,300.0,2:6:2,2:9:38,216016,0
Truck5,,VIAJE_VACIO,6892328,7778956,#UB1_4390_EST,0.0,1:54:52,2:9:38,886628,86857
Truck5,PA03,CARGA,7778956,8048976,#UB1_4390_EST,373.0,2:9:38,2:14:8,270020,0
Truck5,,VIAJE_CARGADO,8048976,9600575,#UB1_TRANQUEBERM_EST,373.0,2:14:8,2:40:0,1551599,0
Truck5,,DESCARGA,9600575,9649575,#UB1_TRANQUEBERM_EST,373.0,2:40:0,2:40:49,49000,0
PA03,Truck5,CARGA,7778956,8048976,#UB1_4390_EST,373.0,2:9:38,2:14:8,270020,0
Truck9,,VIAJE_VACIO,6247082,8048976,#UB1_4390_EST,0.0,1:44:7,2:14:8,1801894,951504
Truck9,PA03,CARGA,8048976,8264992,#UB1_4390_EST,300.0,2:14:8,2:17:44,216016,0
Truck9,,VIAJE_CARGADO,8264992,9988991,#UB1_TRANQUEBERM_EST,300.0,2:17:44,2:46:28,1723999,0
Truck9,,DESCARGA,9988991,10019991,#UB1_TRANQUEBERM_EST,300.0,2:46:28,2:46:59,31000,0
PA03,Truck9,CARGA,8048976,8264992,#UB1_4390_EST,300.0,2:14:8,2:17:44,216016,0
Truck8,,VIAJE_VACIO,4025947,4630903,#RF10B_4255_1001_1,0.0,1:7:5,1:17:10,604956,44505
Truck8,PA02,CARGA,4630903,4692679,#RF10B_4255_1001_1,300.0,1:17:10,1:18:12,61776,0
Truck8,,VIAJE_CARGADO,4692679,5424994,#CS03,300.0,1:18:12,1:30:24,732315,0
Truck8,,DESCARGA,5424994,5484994,#CS03,300.0,1:30:24,1:31:24,60000,0
PA02,Truck8,CARGA,4630903,4692679,#RF10B_4255_1001_1,300.0,1:17:10,1:18:12,61776,1380000
Truck10,,VIAJE_VACIO,4320113,5167113,#RF10A_4270_1012_1,0.0,1:12:0,1:26:7,847000,286510
Truck10,PA05,CARGA,5167113,5224131,#RF10A_4270_1012_1,300.0,1:26:7,1:27:4,57018,0
Truck10,,VIAJE_CARGADO,5224131,6450471,#RB2_PUMA2_EST,300.0,1:27:4,1:47:30,1226340,0
Truck10,,DESCARGA,6450471,6537471,#RB2_PUMA2_EST,300.0,1:47:30,1:48:57,87000,0
PA05,Truck10,CARGA,5167113,5224131,#RF10A_4270_1012_1,300.0,1:26:7,1:27:4,57018,420000
Truck1,,VIAJE_VACIO,4157749,5224131,#RF10A_4270_1012_1,0.0,1:9:17,1:27:4,1066382,53084
Truck1,PA05,CARGA,5224131,5281149,#RF10A_4270_1012_1,300.0,1:27:4,1:28:1,57018,0
Truck1,,VIAJE_CARGADO,5281149,6643749,#RB2_PUMA2_EST,300.0,1:28:1,1:50:43,1362600,0
Truck1,,DESCARGA,6643749,6710749,#RB2_PUMA2_EST,300.0,1:50:43,1:51:50,67000,0
PA05,Truck1,CARGA,5224131,5281149,#RF10A_4270_1012_1,300.0,1:27:4,1:28:1,57018,0
Truck13,,VIAJE_VACIO,7263712,8504992,#UB1_4390_EST,0.0,2:1:3,2:21:44,1241280,38561
Truck13,PA03,CARGA,8504992,8721008,#UB1_4390_EST,300.0,2:21:44,2:25:21,216016,0
Truck13,,VIAJE_CARGADO,8721008,10354271,#UB1_TRANQUEBERM_EST,300.0,2:25:21,2:52:34,1633263,0
Truck13,,DESCARGA,10354271,10405271,#UB1_TRANQUEBERM_EST,300.0,2:52:34,2:53:25,51000,0
